Pathways,Reactions,Reaction Names,Formula,grRules,
Transport reactions,MAR04999,,MAM01911c + MAM03108c  -> MAM01967c + MAM03107c ,ENSG00000112499 or ENSG00000146477 or ENSG00000175003,
Transport reactions,MAR05000,,MAM01371c + MAM01910c  -> MAM01285c + MAM01911c + MAM02039c ,,
Transport reactions,MAR05003,,MAM00125c + MAM02040c  -> MAM01597c + MAM02039c + MAM02648c ,ENSG00000112759 or ENSG00000174669,
Transport reactions,MAR05007,,MAM02039c + MAM02555c + MAM03006c  -> MAM00343c + MAM02554c ,ENSG00000110195 or ENSG00000110203 or ENSG00000165457,
Transport reactions,MAR05008,,MAM00712c  -> MAM02040c + MAM03006c ,ENSG00000112759 or ENSG00000174669,
Transport reactions,MAR05010,,MAM00862c + MAM02039c + MAM02555c  -> MAM00712c + MAM02554c ,,
Transport reactions,MAR05034,,MAM00012c + MAM02039c + MAM02444c  -> MAM00862c + MAM01596c + MAM01597c ,ENSG00000112759 or ENSG00000174669,
Transport reactions,MAR05035,,MAM02646e  -> ,ENSG00000112759 or ENSG00000174669,
Transport reactions,MAR05037,,MAM00182x + MAM02552x  -> MAM00882x + MAM02039x + MAM02553x ,ENSG00000112759 or ENSG00000174669,
Transport reactions,MAR05042,,MAM00053x + MAM02040x  -> MAM00182x ,ENSG00000112759 or ENSG00000174669,
Transport reactions,MAR05068,,MAM00882x + MAM01597x  -> MAM01261x + MAM01412x ,ENSG00000003989 or ENSG00000139209 or ENSG00000139514 or ENSG00000165349,
Transport reactions,MAR05070,,MAM01072e  -> ,(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000123643 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703,
Transport reactions,MAR05071,,MAM01072c + MAM01371c + MAM02040c  -> MAM01285c + MAM02039c + MAM02751c + MAM01072e ,ENSG00000003989 or ENSG00000139209 or ENSG00000139514 or ENSG00000165349,
Transport reactions,MAR05073,,MAM01371c + MAM01828c + MAM02039c  -> MAM01802c + MAM02759c ,(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000123643 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703,
Transport reactions,MAR05074,,MAM01442c + MAM02200c  -> MAM01442e + MAM02200e ,(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000112394 or ENSG00000123643 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703,
Transport reactions,MAR05076,,MAM02040c + MAM02173c  -> MAM02171c + MAM02751c ,(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000123643 or ENSG00000130876 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000164363 or ENSG00000165349 or ENSG00000167703,
Transport reactions,MAR05077,,MAM01042c + 2 MAM02026c  -> MAM01040c + MAM02027c + MAM02040c ,(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000123643 or ENSG00000130876 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703,
Transport reactions,MAR05078,,MAM01371c + MAM02736c  -> MAM01285c + MAM02039c + MAM02734c ,(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000123643 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703,
Transport reactions,MAR05079,,MAM01831c + MAM02039c + MAM02555c + MAM02880c  <=> MAM01708c + MAM02040c + MAM02554c ,(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000123643 or ENSG00000130876 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703,
Transport reactions,MAR05080,,MAM01708c + MAM02039c + MAM02871c  -> MAM02877c + MAM02880c ,(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000112394 or ENSG00000123643 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703,
Transport reactions,MAR05082,,MAM01666c + MAM02040c  -> MAM01671c + MAM02578c ,(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000112394 or ENSG00000123643 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703,
Transport reactions,MAR05084,,MAM01445e + MAM02046c  -> MAM01445c + MAM02046e ,(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000123643 or ENSG00000130876 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703,
Transport reactions,MAR05085,,MAM01583e  -> MAM01583c ,(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000123643 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703,
Transport reactions,MAR05087,,MAM02039c + MAM02391c + MAM02553c + MAM02630c  -> MAM01934c + 2 MAM02040c + MAM02552c ,ENSG00000003989 or ENSG00000092068 or ENSG00000103257 or ENSG00000123643 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703,
Transport reactions,MAR05088,,MAM02039c + MAM02553c + MAM02633c  <=> MAM02439c + MAM02552c ,(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000123643 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703,
Transport reactions,MAR05089,,MAM00039m  <=> MAM03035m ,(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000123643 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703,
Transport reactions,MAR05091,,MAM00247c  -> MAM00569c + MAM02039c ,(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000123643 or ENSG00000130876 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703,
Transport reactions,MAR05092,,MAM00569c + MAM02040c  -> MAM00913c + MAM02751c ,(ENSG00000092068 and ENSG00000168003) or ENSG00000003989 or ENSG00000103257 or ENSG00000123643 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703,
Transport reactions,MAR05094,,MAM00004c + MAM02040c  -> MAM00003c + MAM01597c + MAM02039c ,ENSG00000003989 or ENSG00000139209 or ENSG00000139514 or ENSG00000165349,
Transport reactions,MAR05129,,MAM01590c + MAM02040c  -> MAM01630c + MAM02751c ,ENSG00000137860 or ENSG00000197506,
Transport reactions,MAR05303,,MAM01235c + MAM01371c + MAM01597c  <=> MAM01236c + MAM01334c + MAM02759c ,,
Transport reactions,MAR05305,,MAM01100e  -> ,ENSG00000003989 or ENSG00000072041 or ENSG00000105281 or ENSG00000111371 or ENSG00000115902 or ENSG00000134294 or ENSG00000139209 or ENSG00000139514 or ENSG00000165349 or ENSG00000174358 or ENSG00000268104,
Transport reactions,MAR05307,,MAM01100c + MAM01371c  -> MAM01044c + MAM01285c + MAM02751c ,ENSG00000017483 or ENSG00000188338,
Transport reactions,MAR05308,,MAM01430c + MAM03108c  -> MAM01972c + MAM02039c + MAM03106c ,ENSG00000072041 or ENSG00000105281 or ENSG00000111371 or ENSG00000134294 or ENSG00000139209 or ENSG00000174358 or ENSG00000268104,
Transport reactions,MAR05310,,MAM01371c + MAM02040c + MAM02930c  -> MAM01285c + MAM02039c + MAM02751c + MAM02930e ,ENSG00000017483 or ENSG00000188338,
Transport reactions,MAR05311,,MAM02040c + MAM02159c + MAM02630c  -> MAM02041c + MAM03148c ,ENSG00000072041 or ENSG00000111371 or ENSG00000134294 or ENSG00000139209 or ENSG00000268104,
Transport reactions,MAR05313,,MAM01237c + MAM02040c  -> MAM01238c + MAM01597c + MAM02039c ,ENSG00000017483 or ENSG00000188338,
Transport reactions,MAR05315,,MAM01371c + MAM01965e + MAM02040c + 2 MAM02519e  -> MAM01285c + MAM01965c + MAM02039c + 2 MAM02519c + MAM02751c ,ENSG00000003989 or ENSG00000072041 or ENSG00000111371 or ENSG00000134294 or ENSG00000139209 or ENSG00000139514 or ENSG00000165349 or ENSG00000168003 or ENSG00000174358 or ENSG00000268104,
Transport reactions,MAR05319,,MAM02039c + MAM02555c + MAM02630c + MAM02941c  -> 2 MAM02040c + MAM02554c + MAM02647c ,ENSG00000003989 or ENSG00000111371 or ENSG00000134294 or ENSG00000139209 or ENSG00000139514 or ENSG00000165349 or ENSG00000174358 or ENSG00000268104,
Transport reactions,MAR05320,,MAM02040m + MAM02554m + MAM02868m  -> MAM00631m + MAM01974m + MAM02039m + MAM02555m ,ENSG00000111371 or ENSG00000134294 or ENSG00000139209 or ENSG00000174358 or ENSG00000268104,
Transport reactions,MAR05322,,MAM00020c + MAM02040c  -> MAM00019c + MAM01597c + MAM02039c ,ENSG00000011083 or ENSG00000072041 or ENSG00000111371 or ENSG00000134294 or ENSG00000139209 or ENSG00000163817,
Transport reactions,MAR05324,,MAM10023e  -> ,ENSG00000072041 or ENSG00000111371 or ENSG00000134294 or ENSG00000139209 or ENSG00000174358 or ENSG00000197375 or ENSG00000268104,
Transport reactions,MAR05326,,MAM10030e  -> ,ENSG00000072041 or ENSG00000111371 or ENSG00000134294 or ENSG00000139209 or ENSG00000268104,
Transport reactions,MAR05328,,MAM01371c + MAM01597c + MAM02387e  -> MAM01334c + MAM02391c + MAM02759c ,ENSG00000079215 or ENSG00000105143 or ENSG00000106688 or ENSG00000110436 or ENSG00000178537,
Transport reactions,MAR05330,,MAM02745e  -> ,ENSG00000079215 or ENSG00000105143 or ENSG00000106688 or ENSG00000110436 or ENSG00000162383 or ENSG00000174358 or ENSG00000178537,
Transport reactions,MAR05413,,MAM02930e  -> ,ENSG00000144136 or ENSG00000168575,
Transport reactions,MAR05432,,MAM00760c + MAM02040c + MAM02552c  -> MAM01383c + 2 MAM02039c + MAM02553c ,ENSG00000033867,
Transport reactions,MAR05441,,MAM01445c + MAM03109c  -> MAM03106c + MAM03503c ,ENSG00000149150,
Transport reactions,MAR05442,,MAM01371c + MAM02040c + MAM03503c  -> MAM01285c + MAM02039c + MAM02751c + MAM03503e ,ENSG00000114770,
Transport reactions,MAR05443,,MAM03503e  -> ,ENSG00000114770,
Transport reactions,MAR05444,,MAM01334e + MAM02759e  -> MAM01279e + MAM02806e ,ENSG00000114770,
Transport reactions,MAR05445,,MAM02806e  -> ,ENSG00000114770,
Transport reactions,MAR05446,,MAM02040c + MAM02630c + MAM02926c  -> MAM00760c + MAM02041c + MAM02923c ,ENSG00000125257,
Transport reactions,MAR05447,,MAM02870c + MAM02923c  -> MAM01116c + MAM02039c + MAM02926c ,ENSG00000079215 or ENSG00000105143 or ENSG00000106688 or ENSG00000110436 or ENSG00000162383,
Transport reactions,MAR05448,,MAM01383c  <=> MAM01383m ,ENSG00000080493 or ENSG00000188687,
Transport reactions,MAR05451,,MAM00900m + MAM01974m  <=> MAM01306m + MAM01383m ,ENSG00000131389,
Transport reactions,MAR05454,,MAM02040m + MAM02736m  <=> MAM02751m + MAM00554m ,ENSG00000131389,
Transport reactions,MAR05455,,MAM01371m + MAM00554m  -> MAM01285m + MAM02039m + MAM02736m ,ENSG00000196517 or ENSG00000268104,
Transport reactions,MAR05458,,MAM01236c + MAM02040c  -> MAM01235c + MAM01597c + MAM02039c ,ENSG00000103257 or ENSG00000130876 or ENSG00000168003,
Transport reactions,MAR05459,,MAM02554c + MAM02834c  -> MAM02039c + MAM02555c + MAM02832c ,ENSG00000103257,
Transport reactions,MAR05460,,MAM02040c + MAM02473c + MAM02630c  -> MAM01831c + MAM02041c + MAM02579c ,ENSG00000103257 or ENSG00000130876 or ENSG00000168003,
Transport reactions,MAR05461,,MAM02039c + MAM02555c + MAM02630c + MAM02941c  -> MAM00020c + 2 MAM02040c + MAM02554c ,ENSG00000103257,
Transport reactions,MAR05462,,MAM00970m + MAM01306m  <=> MAM01974m + MAM02942m ,ENSG00000103257,
Transport reactions,MAR05463,,MAM00970c  <=> MAM00970m ,ENSG00000103257,
Transport reactions,MAR05464,,MAM02040c + MAM02630c + MAM02812c  -> MAM00969c + MAM02039c + MAM02041c + MAM02578c ,ENSG00000103257,
Transport reactions,MAR05465,,MAM00969c + MAM02040c + MAM02552c  -> MAM00970c + 2 MAM02039c + MAM02553c ,(ENSG00000092068 and ENSG00000168003) or ENSG00000103257,
Transport reactions,MAR05466,,MAM00110c + MAM02040c  -> MAM00111c + MAM01597c + MAM02039c ,ENSG00000103257,
Transport reactions,MAR05467,,MAM02139e + MAM03109c + MAM03111c  -> 2 MAM02039c + MAM02141e + 2 MAM03106c ,ENSG00000103257,
Transport reactions,MAR05468,,MAM02141e  -> ,ENSG00000103257,
Transport reactions,MAR05469,,MAM00168m + MAM02040m  -> MAM01716m + MAM02026m + MAM02039m ,ENSG00000103257,
Transport reactions,MAR05470,,MAM00168c  <=> MAM00168m ,ENSG00000103257 or ENSG00000130876 or ENSG00000168003,
Transport reactions,MAR05471,,MAM01716c + MAM02039c  <=> MAM01716m + MAM02039m ,ENSG00000103257,
Transport reactions,MAR05472,,MAM01334c + MAM02390c + MAM02759c  <=> MAM01371c + MAM01597c + MAM02389c ,ENSG00000103257,
Transport reactions,MAR05473,,MAM01674c + MAM02040c  -> MAM01334c + 2 MAM02039c + MAM02741c ,ENSG00000103257 or ENSG00000130876 or ENSG00000168003,
Transport reactions,MAR05474,,MAM01371c + MAM02004c + MAM02040c  -> MAM01285c + MAM02004e + MAM02039c + MAM02751c ,ENSG00000103257,
Transport reactions,MAR05475,,MAM02004e  -> ,ENSG00000103257,
Transport reactions,MAR05476,,MAM01986c + MAM10042c  -> MAM01597c + MAM02004c ,ENSG00000103257,
Transport reactions,MAR05477,,MAM00007c + MAM02040c  -> MAM01584c + MAM01597c + MAM02039c ,ENSG00000103257,
Transport reactions,MAR05478,,MAM01822e  <=> ,ENSG00000103257,
Transport reactions,MAR05479,,4 MAM01821e + 4 MAM02039e + MAM02630e  -> 4 MAM01822e + 2 MAM02040e ,ENSG00000103257,
Transport reactions,MAR05480,,MAM01364c + MAM02040c  -> MAM01362c + MAM01597c + MAM02039c ,ENSG00000103257,
Transport reactions,MAR05481,,MAM02038e  -> ,ENSG00000103257,
Transport reactions,MAR05482,,MAM00760c + MAM02040c + MAM02554c  -> MAM01383c + 2 MAM02039c + MAM02555c ,ENSG00000103257,
Transport reactions,MAR05483,,MAM02040c + MAM02612c  -> MAM01597c + MAM02039c + MAM02613c ,ENSG00000103257,
Transport reactions,MAR05484,,MAM01371c + MAM02492c  -> MAM01133c + MAM01285c ,ENSG00000103257,
Transport reactions,MAR05485,,MAM03476e  -> ,ENSG00000103257,
Transport reactions,MAR05486,,MAM00639c + MAM03118c  <=> MAM01673c + MAM02751c ,ENSG00000103257,
Transport reactions,MAR05487,,MAM01334c + MAM02759c + MAM03050c  <=> MAM01371c + MAM01597c + MAM03051c ,ENSG00000103257 or ENSG00000130876 or ENSG00000168003,
Transport reactions,MAR05488,,MAM02171e  <=> ,ENSG00000103257,
Transport reactions,MAR05489,,MAM01280c  <=> MAM01280l ,ENSG00000103257,
Transport reactions,MAR05490,,MAM01334c  <=> MAM01334l ,ENSG00000103257,
Transport reactions,MAR05491,,MAM01334l + MAM02040l  -> MAM01280l + MAM02751l ,ENSG00000103257,
Transport reactions,MAR05492,,MAM00010c + MAM01371c + MAM01597c  <=> MAM00012c + MAM01334c + MAM02759c ,(ENSG00000130876 and ENSG00000168003) or (ENSG00000103257 and ENSG00000168003),
Transport reactions,MAR05493,,MAM00247c + MAM02040c  -> MAM00913c + MAM02039c + MAM02751c ,ENSG00000103257,
Transport reactions,MAR05494,,MAM00129c + MAM02040c  -> MAM00128c + MAM01597c + MAM02039c ,ENSG00000103257,
Transport reactions,MAR05495,,MAM00118c + MAM02040c  -> MAM00117c + MAM01597c + MAM02039c ,ENSG00000103257,
Transport reactions,MAR05496,,MAM02040c + MAM02391c  -> MAM01597c + MAM02039c + MAM02387c ,ENSG00000103257,
Transport reactions,MAR05497,,MAM01045c + 2 MAM02039c + MAM02555c  -> MAM01115c + MAM02554c ,ENSG00000103257 or ENSG00000130876 or ENSG00000168003,
Transport reactions,MAR05498,,MAM02046c + MAM03476e  -> MAM02046e + MAM03476c ,ENSG00000103257,
Transport reactions,MAR05499,,MAM00009c + MAM02040c  -> MAM00008c + MAM01597c + MAM02039c ,ENSG00000103257,
Transport reactions,MAR05500,,MAM00104c + MAM01371c + MAM01597c  <=> MAM00106c + MAM01334c + MAM02759c ,ENSG00000103257,
Transport reactions,MAR05501,,MAM01972c + MAM02040c  -> MAM01430c + MAM01965c ,ENSG00000103257,
Transport reactions,MAR05502,,MAM01371c + MAM01413c + MAM02040c  -> MAM01285c + MAM01413e + MAM02039e + MAM02751c ,ENSG00000103257,
Transport reactions,MAR05503,,MAM02193c + MAM03123c  -> MAM02039c + MAM02161c + MAM03114c ,ENSG00000103257,
Transport reactions,MAR05504,,MAM01280e  -> ,ENSG00000103257,
Transport reactions,MAR05505,,MAM01371c + MAM01597c + MAM03129c  -> MAM01334c + MAM02759c + MAM10042c ,ENSG00000103257,
Transport reactions,MAR05506,,MAM02040m + MAM02630m + MAM02949m  -> MAM02041m + MAM02946m ,ENSG00000103257,
Transport reactions,MAR05507,,MAM01371c + MAM02750c  -> MAM00553c + MAM01285c + MAM02039c ,ENSG00000103257,
Transport reactions,MAR05508,,MAM03114e  -> ,ENSG00000103257,
Transport reactions,MAR05509,,MAM01306m + MAM02039m + MAM02393m  -> MAM01596m + MAM02934m ,ENSG00000103257,
Transport reactions,MAR05510,,MAM01371c + MAM02040c + MAM02966c  -> MAM01285c + MAM02039c + MAM02751c + MAM02966e ,ENSG00000103257,
Transport reactions,MAR05511,,MAM02961c + MAM10042c  -> MAM01597c + MAM02966c ,ENSG00000103257,
Transport reactions,MAR05512,,MAM02966e  -> ,ENSG00000103257,
Transport reactions,MAR05513,,MAM01307c + MAM02026c  -> MAM00097e + MAM01626e ,ENSG00000103257,
Transport reactions,MAR05514,,MAM00553c + MAM02040c  -> MAM00237c + MAM00526c + MAM02039c ,ENSG00000103257,
Transport reactions,MAR05515,,MAM00113c + MAM02040c  -> MAM00114c + MAM01597c + MAM02039c ,ENSG00000103257,
Transport reactions,MAR05516,,MAM02939e  -> MAM02939c ,ENSG00000103257 and ENSG00000168003,
Transport reactions,MAR05517,,MAM02040c + MAM02473c + MAM02630c  -> MAM01831c + MAM02039c + MAM02041c + MAM02578c ,ENSG00000103257,
Transport reactions,MAR05518,,MAM01371c + MAM02039c + MAM02585c  <=> MAM01646c + MAM02759c ,ENSG00000103257,
Transport reactions,MAR05519,,MAM00016c + MAM01334c + MAM02759c  <=> MAM01371c + MAM01583c + MAM01597c ,ENSG00000103257,
Transport reactions,MAR05520,,MAM00108c + MAM02040c  -> MAM01597c + MAM02039c + MAM02939c ,ENSG00000103257,
Transport reactions,MAR05521,,MAM00528c + MAM02040c  -> MAM00529c + MAM02751c ,ENSG00000103257,
Transport reactions,MAR05522,,MAM00524c + MAM02040c  -> MAM00528c + MAM02751c ,ENSG00000103257,
Transport reactions,MAR05523,,MAM02817c  -> MAM02817e ,ENSG00000103257,
Transport reactions,MAR05524,,MAM02817e  -> ,ENSG00000103257,
Transport reactions,MAR05525,,MAM01072c + MAM02039c + MAM02553c  <=> MAM01314c + MAM02552c ,ENSG00000103257,
Transport reactions,MAR05526,,MAM02815c  -> MAM02815e ,ENSG00000103257,
Transport reactions,MAR05529,,MAM02815e  -> ,ENSG00000103257 or ENSG00000165029,
Transport reactions,MAR05542,,MAM02648e  -> MAM02648c ,ENSG00000103257,
Transport reactions,MAR05543,,MAM02026c + MAM02475c  -> MAM00168c ,ENSG00000103257,
Transport reactions,MAR05544,,MAM01972c  -> MAM01972e ,ENSG00000103257,
Transport reactions,MAR05545,,MAM00648c + MAM01833e  -> MAM00648e + MAM01833c ,ENSG00000103257,
Transport reactions,MAR05546,,MAM01597c + MAM02611c  <=> MAM02348c + MAM02612c ,ENSG00000103257,
Transport reactions,MAR05547,,MAM02348c + MAM02611m  <=> MAM02348m + MAM02611c ,ENSG00000103257 or ENSG00000188687,
Transport reactions,MAR05548,,MAM01597m + MAM02611m  <=> MAM02348m + MAM02612m ,ENSG00000103257,
Transport reactions,MAR05549,,MAM02040c + MAM02735c  -> MAM00554c + MAM02751c ,ENSG00000103257,
Transport reactions,MAR05551,,MAM01371c + MAM02040c + MAM02564e  -> MAM01285c + MAM02039c + MAM02564c + MAM02751c ,ENSG00000103257,
Transport reactions,MAR05552,,MAM01802m + MAM02040m + MAM02495m  -> MAM00178m + MAM01803m ,ENSG00000103257,
Transport reactions,MAR05553,,MAM01648e  -> ,ENSG00000103257,
Transport reactions,MAR05554,,MAM03255m  -> MAM03195m ,ENSG00000103257,
Transport reactions,MAR05555,,MAM01597m + MAM01802m + MAM02040m + MAM02552m + MAM03284m  -> MAM01261m + MAM01803m + MAM02039m + MAM02553m + MAM03255m ,ENSG00000103257,
Transport reactions,MAR05556,,MAM01597m + MAM02040m + MAM02552m + MAM02831m  -> MAM01261m + MAM02039m + MAM02553m + MAM03284m ,ENSG00000103257,
Transport reactions,MAR05557,,MAM03559m  -> MAM02831m ,ENSG00000103257,
Transport reactions,MAR05558,,MAM02039m + MAM02555m + MAM03556m  -> MAM02554m + MAM03559m ,ENSG00000103257,
Transport reactions,MAR05559,,MAM00095m + MAM01802m  -> MAM01803m + MAM03556m ,ENSG00000103257,
Transport reactions,MAR05560,,MAM01597m + MAM02040m + MAM02552m + MAM03195m  -> MAM01261m + MAM02039m + MAM02553m + MAM03273m ,ENSG00000103257,
Transport reactions,MAR05561,,MAM00108m + 5 MAM01597m + MAM01802m + 5 MAM02040m + 5 MAM02552m  -> 5 MAM01261m + MAM01803m + 5 MAM02039m + 5 MAM02553m + MAM02644m ,ENSG00000103257,
Transport reactions,MAR05562,,MAM01802e + MAM02040e  -> MAM01334e + 2 MAM02039e + MAM01828e ,ENSG00000103257,
Transport reactions,MAR05563,,MAM00123c + MAM02040c  -> MAM01207c + MAM01597c + MAM02039c ,ENSG00000103257,
Transport reactions,MAR05564,,MAM00264c + MAM02040c  -> MAM00265c + MAM01597c + MAM02039c ,ENSG00000103257,
Transport reactions,MAR05565,,MAM02040c + MAM02345c  -> MAM01597c + MAM02039c + MAM02344c ,ENSG00000103257,
Transport reactions,MAR05566,,2 MAM01597x + 2 MAM02040x + 2 MAM02552x + 2 MAM02630x + MAM02971x  -> 2 MAM01261x + MAM01773x + 2 MAM02039x + 2 MAM02041x + 2 MAM02553x ,ENSG00000103257,
Transport reactions,MAR05567,,MAM02971c  <=> MAM02971x ,ENSG00000103257,
Transport reactions,MAR05568,,2 MAM01442e + MAM02046c  -> 2 MAM01442c + MAM02046e ,ENSG00000103257,
Transport reactions,MAR05569,,MAM03123e  -> ,ENSG00000103257,
Transport reactions,MAR05570,,MAM01334c + MAM01650c + MAM02759c  <=> MAM01371c + MAM01597c + MAM01648c ,ENSG00000103257,
Transport reactions,MAR05571,,MAM01650c  <=> MAM01650m ,ENSG00000103257,
Transport reactions,MAR05572,,MAM02040c + MAM02495c  -> MAM01597c + MAM02039c + MAM02494c ,ENSG00000103257,
Transport reactions,MAR05573,,MAM00023c + MAM02040c  -> MAM00021c + MAM01597c + MAM02039c ,ENSG00000103257,
Transport reactions,MAR05574,,MAM02411c + MAM02519c  -> MAM02519e + MAM02411e ,ENSG00000103257,
Transport reactions,MAR05575,,MAM02411e  -> ,ENSG00000103257,
Transport reactions,MAR05576,,MAM00115e  -> ,ENSG00000103257,
Transport reactions,MAR05577,,MAM01371c + MAM02040c + MAM02685c  -> MAM01285c + MAM02039c + MAM02685m + MAM02751c ,ENSG00000103257,
Transport reactions,MAR05578,,MAM00127c + MAM02040c  -> MAM01597c + MAM01778c + MAM02039c ,ENSG00000103064 or ENSG00000103257 or ENSG00000168003,
Transport reactions,MAR05579,,MAM01141c + MAM02040c  -> MAM01597c + MAM02039c + MAM02745c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05580,,MAM00006c + MAM02040c  -> MAM01582c + MAM01597c + MAM02039c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05581,,MAM02354e  -> ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05582,,MAM00106c + MAM02040c  -> MAM00104c + MAM01597c + MAM02039c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05583,,MAM02039c + MAM02475c + MAM02555c  -> MAM01715c + MAM02554c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05584,,3 MAM02519e + 2 MAM02751e  -> 3 MAM02519c + 2 MAM02751c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05585,,MAM01334c + MAM02689c + MAM02759c  <=> MAM01371c + MAM01597c + MAM02690c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05586,,MAM01597m + MAM02388m  -> MAM02348m + MAM02391m ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05587,,MAM01586c + MAM02040c  -> MAM01585c + MAM01597c + MAM02039c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05588,,MAM00012c + MAM02040c  -> MAM00010c + MAM01597c + MAM02039c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05589,,MAM01650m + MAM01802m + MAM02040m  -> MAM00181m + MAM01803m ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05590,,MAM02494e  -> MAM02494c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05591,,MAM02040c + MAM02362c  -> MAM02364c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05592,,MAM00509c + MAM01371c  -> MAM01285c + MAM02039c + MAM10006c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05593,,MAM00103c + MAM02040c  -> MAM01597c + MAM01784c + MAM02039c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05594,,MAM00504c + MAM01371c  -> MAM01285c + MAM02039c + MAM10006c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05595,,MAM02040c + MAM02052c  -> MAM01597c + MAM02039c + MAM02053c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05596,,MAM02039r + MAM02555r + MAM02630r + MAM03479r  -> MAM02040r + MAM02554r + MAM03179r ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05597,,MAM03109r + MAM03179r  -> MAM02039r + MAM03106r + MAM03180r ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05598,,MAM01371c + MAM02040c + MAM03180c  -> MAM01285c + MAM02039c + MAM02751c + MAM03180e ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05599,,MAM03180r  <=> MAM03180c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05600,,MAM03180e  -> ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05601,,MAM01252c + MAM01371c + MAM01597c  -> MAM01261c + MAM01334c + MAM02759c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05602,,MAM01191c + MAM02040c  -> MAM01197c + MAM01597c + MAM02039c ,ENSG00000103064 or ENSG00000103257,
Transport reactions,MAR05604,,MAM00095c + MAM02040c  -> MAM01597c + MAM01689c + MAM02039c ,ENSG00000103064 or ENSG00000105281 or ENSG00000115902,
